,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2395,8,2306,1522,0,683,0.16,1997,547000,-1
2396,19,940,0,0,0,0.0,2005,269000,46
2397,61,1849,1777,1774,787,0.25,2009,625000,-1
2398,8,1288,0,0,270,0.11,2003,342000,38
2399,68,1430,686,0,400,0.0,2017,398000,32
2400,20,1156,0,0,0,0.0,2017,660000,-1
2401,68,1765,974,556,440,0.07,2003,444900,33
2402,8,2181,703,0,650,0.33,2006,490000,42
2403,8,2086,0,0,446,0.15,2010,557500,-1
2404,20,811,0,0,0,0.0,2005,448500,-1
2405,1,1928,1928,1444,430,0.13,2018,585000,-1
2406,8,2359,0,0,576,0.16,2017,460000,-1
2407,8,1960,676,0,504,0.15,1988,485000,39
2408,1,1112,0,0,528,0.25,1986,360000,-1
2409,341,2395,0,0,0,0.09,2001,725000,-1
2410,1,2480,2480,2480,1741,0.45,2002,1015000,-1
2411,8,1798,952,952,420,0.19,1989,472000,-1
2412,1,999,0,0,468,0.15,1904,460000,-1
2413,1,936,936,936,360,0.17,1921,620000,-1
2414,5,2790,570,570,1290,0.5,1995,683600,25
2415,1,1066,888,888,484,0.18,1978,380000,-1
2416,8,1989,775,0,420,0.28,1971,620000,-1
2417,8,3075,1809,0,693,0.53,1978,763375,-1
2418,8,2203,1032,1032,651,0.14,2000,518000,-1
2419,69,1643,623,623,440,0.06,2017,497579,43
2420,69,1382,0,0,476,0.03,2016,437000,-1
2421,8,1980,1096,0,576,0.09,2014,530000,-1
2422,68,1200,0,0,0,0.0,1974,275000,-1
2423,14,900,0,0,0,0.0,1969,20000,-1
2424,1,1200,0,0,288,0.2,1966,420000,-1
2425,8,2164,1450,1450,672,0.19,1999,528000,16
2426,8,2076,1004,1004,472,0.16,1996,511875,47
2427,7,1487,0,0,420,0.14,1986,388000,-1
2428,8,1519,0,0,441,0.19,1987,382000,-1
2429,61,784,0,0,0,0.0,1975,185000,-1
2430,1,2279,1525,0,520,0.27,2006,495000,42
2431,68,1437,0,0,475,0.0,1999,345000,-1
2432,1,2810,2792,2792,704,0.41,2017,742000,7
2433,68,1168,576,504,240,0.02,2007,339000,-1
2434,8,3622,1842,0,682,0.24,2016,726000,7
2435,8,3306,1293,0,1376,0.23,2014,825000,-1
2436,1,1146,1120,840,440,0.2,1979,378000,-1
2437,1,1680,1638,1245,690,0.23,1998,600000,-1
2438,8,2163,1192,338,642,0.17,1999,545000,-1
2439,4,3026,0,0,1314,0.36,1974,815000,-1
2440,14,784,0,0,0,0.0,1994,5000,-1
2441,15,1344,0,0,0,0.0,1995,65000,-1
2442,78,3066,0,0,0,0.17,1879,779500,-1
2443,8,2117,0,0,0,0.15,2018,1175000,-1
2444,8,2017,0,0,537,0.22,1905,762500,-1
2445,1,1248,1232,1232,728,0.15,1906,565000,-1
2446,7,1580,0,0,460,0.19,1972,485500,-1
2447,4,2080,0,0,520,0.25,1970,492500,-1
2448,5,1584,0,0,936,0.34,1976,667500,-1
2449,7,1780,0,0,484,0.29,1976,373450,-1
2450,7,2267,624,624,654,0.31,1978,675000,-1
2451,1,1183,0,0,352,0.18,1976,355000,-1
2452,68,1102,0,0,0,0.02,1979,255000,-1
2453,68,900,0,0,0,0.0,1972,203700,-1
2454,7,1454,0,0,440,0.37,1984,350000,-1
2455,8,1692,840,840,576,0.23,1986,500000,-1
2456,68,952,0,0,264,0.0,1983,300000,-1
2457,19,505,0,0,0,0.0,1984,208000,-1
2458,8,2410,1116,640,744,0.21,1990,605000,-1
2459,1,1408,1408,1408,660,0.22,1996,450000,-1
2460,8,1736,804,624,660,0.18,1999,525000,16
2461,68,1466,0,0,400,0.0,1999,335000,45
2462,8,1849,434,0,552,0.17,2003,495000,-1
2463,8,2068,841,841,662,0.14,2000,494000,-1
2464,8,1566,665,0,588,0.12,2005,430000,41
2465,8,2990,1500,0,650,0.24,2003,593000,-1
2466,1,1525,0,0,441,0.13,2003,390000,38
2467,21,1616,0,0,528,0.0,2005,185000,-1
2468,1,1755,1755,1200,546,0.12,2013,575000,-1
2469,1,1300,1300,1300,324,0.19,1941,625000,-1
2470,21,1616,0,0,484,0.0,2006,187500,-1
2471,1,1585,1585,1585,480,0.13,2020,597770,40
2472,19,1047,0,0,180,0.0,2015,330200,32
2473,8,2830,1314,0,750,0.14,2017,580000,-1
2474,8,2855,1636,0,778,0.29,1996,820000,-1
2475,8,2666,1776,0,1008,0.91,1997,930000,24
2476,68,1511,0,0,264,0.0,1996,350000,-1
2477,8,2569,1313,0,782,0.38,1998,593500,-1
2478,1,1291,1209,0,480,0.18,1999,410000,-1
2479,1,1295,1286,1013,462,0.08,1996,411000,-1
2480,8,2260,1202,1202,441,0.19,1997,565600,-1
2481,19,818,0,0,0,0.0,1984,230000,-1
2482,7,1520,0,0,440,0.21,1977,430000,-1
2483,7,1858,0,0,440,0.21,1971,491000,-1
2484,1,977,0,0,257,0.17,1961,440600,-1
2485,8,1746,624,312,520,0.23,1970,470000,-1
2486,1,1490,1490,0,440,0.2,1969,585000,-1
2487,68,1352,0,0,0,0.0,1972,256000,1
2488,7,1723,0,0,372,0.25,1965,410000,-1
2489,1,1941,1159,859,430,0.19,1971,765000,-1
2490,68,1126,538,428,0,0.03,1999,319000,-1
2491,8,1470,0,0,270,0.09,2003,345000,38
2492,68,1422,618,0,480,0.04,2002,420000,22
2493,8,2314,700,530,462,0.24,2002,615000,22
2494,7,1463,565,329,596,0.14,2007,475000,31
2495,19,1921,1100,1100,487,0.0,2003,460000,52
2496,19,1134,0,0,0,0.0,2001,270000,18
2497,61,1391,0,0,441,0.0,2014,411000,30
2498,8,1353,693,693,400,0.14,2005,445000,40
2499,14,1216,0,0,0,0.0,1994,15000,-1
2500,15,1152,0,0,0,0.0,1979,7500,-1
2501,1,1462,0,0,477,0.21,1957,535000,-1
2502,1,1076,0,0,240,0.21,1953,482600,-1
2503,68,1388,0,0,252,0.0,1975,305000,1
2504,4,1748,0,0,528,0.2,1972,390000,-1
2505,7,1680,0,0,440,0.16,1986,400000,-1
2506,61,1085,0,0,264,0.0,1983,295000,-1
2507,21,840,0,0,300,0.12,1984,275000,-1
2508,7,3158,769,400,748,0.39,1992,889000,-1
2509,4,1518,0,0,288,0.14,1978,340000,-1
2510,8,2913,1176,299,280,0.14,2002,595000,-1
2511,8,2149,1049,810,452,0.18,2001,625000,19
2512,68,1380,600,0,399,0.06,2017,395000,-1
2513,68,1646,1162,1162,299,0.0,2016,427000,13
2514,69,2028,0,0,400,0.04,2018,525000,-1
2515,68,1518,660,0,440,0.05,2020,440932,43
2516,68,1153,673,0,440,0.05,2020,441132,43
2517,68,1480,620,0,440,0.05,2019,441132,43
2518,68,1518,660,0,440,0.05,2020,440932,43
2519,68,3057,0,0,601,0.04,2017,1280000,-1
2520,0,1,0,0,0,0.04,2020,419500,-1
2521,19,1787,0,0,504,0.0,2003,410000,11
2522,8,1625,0,0,500,0.1,2012,430000,-1
2523,8,1746,0,0,602,0.1,2013,415000,-1
2524,1,1288,1272,1272,483,0.08,1996,535000,-1
2525,1,1870,0,0,572,0.16,1974,380000,-1
2526,1,1776,1480,730,504,0.22,1968,422200,-1
2527,1,1060,0,0,256,0.21,1972,389000,-1
2528,8,2032,546,492,440,0.21,1967,655000,-1
2529,1,832,832,832,288,0.2,1933,425000,-1
2530,14,784,0,0,0,0.0,1980,10000,-1
2531,1,1030,0,0,273,0.16,1963,395000,-1
2532,1,1320,900,750,528,0.24,1960,500000,-1
2533,7,1817,644,0,507,0.25,1973,507280,-1
2534,68,1266,567,400,220,0.03,1995,335500,-1
2535,68,1258,631,631,400,0.03,1995,340000,-1
2536,8,1680,0,0,456,0.18,1986,395000,-1
2537,8,1770,810,0,688,0.23,1996,464900,47
2538,19,1175,0,0,412,0.0,2008,350000,10
2539,1,2330,2330,1551,638,0.2,2013,710000,-1
2540,19,1033,0,0,0,0.0,2005,285000,46
2541,19,1143,0,0,220,0.0,2007,318500,50
2542,0,1,0,0,0,0.17,2020,546180,40
2543,68,1275,0,0,312,0.04,2018,303000,-1
2544,8,1792,812,0,440,0.13,2005,410000,38
2545,1,2484,2144,2144,864,0.26,1995,800000,-1
2546,68,1511,0,0,264,0.0,1996,324000,-1
2547,68,810,0,0,405,0.0,1983,248000,-1
2548,1,1370,1320,1320,672,0.67,1977,607000,-1
2549,14,1280,0,0,0,0.0,1996,65000,-1
2550,7,1624,642,642,528,0.3,1976,525000,-1
2551,14,1216,0,0,0,0.0,1985,25000,-1
2552,1,1344,1144,858,400,0.2,1958,600500,-1
2553,61,1039,0,0,504,0.0,1980,316000,-1
2554,19,875,0,0,0,0.0,1997,263000,-1
2555,8,2442,1176,640,420,0.12,2005,515000,41
2556,19,912,0,0,220,0.0,1998,278000,-1
2557,8,2530,1711,1711,672,0.15,2004,579000,42
2558,8,1806,714,0,420,0.11,2003,505000,22
2559,68,1142,0,0,583,0.0,2003,365000,-1
2560,8,2135,820,780,410,0.1,2016,483500,-1
2561,1,2212,2051,0,448,0.19,2005,534900,42
2562,8,3698,1034,0,560,0.22,2017,787500,-1
2563,8,1694,0,0,560,0.11,2016,447000,-1
2564,1,964,0,0,320,0.46,1976,310000,25
2565,1,988,988,0,312,0.17,1967,390000,-1
2566,1,1774,0,0,1104,0.65,1969,799600,-1
2567,1,1542,753,753,1009,0.43,1972,641000,-1
2568,8,2776,1224,1224,598,0.34,1978,700000,-1
2569,4,1850,0,0,440,0.16,1987,421500,-1
2570,67,1112,0,0,296,0.04,1983,375000,-1
2571,1,1593,837,428,400,0.24,1988,445000,-1
2572,19,807,0,0,264,0.0,1984,259000,-1
2573,19,964,0,0,0,0.0,2001,268000,18
2574,1,1314,1314,0,720,0.16,2001,460000,-1
2575,8,2320,1180,788,900,0.5,1995,656000,-1
2576,61,1585,912,660,440,0.13,1994,394500,-1
2577,7,2616,0,0,621,0.23,1984,653000,-1
2578,68,1489,752,0,440,0.0,2017,375000,32
2579,19,844,0,0,0,0.0,1979,215000,-1
2580,8,2616,1302,1094,726,0.18,1996,625000,-1
2581,1,1432,1432,0,400,0.14,2004,407000,16
2582,19,1360,0,0,240,0.0,2012,335000,10
2583,68,1505,624,0,504,0.04,2005,389000,22
2584,7,1884,0,0,648,0.76,1963,585000,-1
2585,7,2931,1874,682,600,0.57,1972,780000,-1
2586,61,988,988,988,264,0.0,1979,350000,-1
2587,69,1694,0,0,350,0.03,2017,575000,35
2588,8,3306,1711,1244,746,0.24,2014,775000,-1
2589,8,1665,847,751,441,0.16,2000,505000,-1
2590,19,1070,0,0,0,0.0,2019,384000,34
2591,0,1,0,0,0,0.0,2020,399500,-1
2592,1,1200,1200,400,400,0.13,1997,440000,-1
2593,1,1925,1925,1573,506,0.22,1991,630000,-1
2594,1,1890,1144,1144,540,0.17,2013,584000,38
2595,8,2312,1005,0,440,0.2,2011,490000,-1
2596,8,2081,889,585,410,0.11,2012,600000,-1
2597,8,2104,891,0,483,0.25,1977,625000,-1
2598,68,1908,914,914,400,0.06,1985,540000,-1
2599,1,1250,1250,312,420,0.17,1972,450000,-1
2600,8,2276,1184,1184,528,0.33,1975,570000,-1
2601,1,1204,1204,963,308,0.18,1961,450000,-1
2602,15,1596,0,0,0,0.0,1985,40000,-1
2603,68,1168,576,0,240,0.02,2007,345000,-1
2604,8,1831,1375,1375,462,0.17,1995,460000,47
2605,61,1370,820,0,398,0.06,1997,375000,-1
2606,61,1354,938,938,396,0.05,2014,470000,21
2607,7,1184,0,0,432,0.18,1980,308000,-1
2608,1,1488,0,0,0,0.18,1963,380000,-1
2609,19,888,0,0,0,0.0,1974,249000,-1
2610,61,1346,576,576,440,0.05,1985,450000,-1
2611,19,818,0,0,0,0.0,1985,195000,-1
2612,1,1563,0,0,255,0.17,1957,378500,-1
2613,1,1012,0,0,520,0.22,1893,360000,-1
2614,1,1594,0,0,1266,2.08,1965,665000,-1
2615,8,1412,592,0,400,0.17,1999,415900,-1
2616,8,2502,933,0,528,0.23,1996,600000,-1
2617,1,2656,2644,2644,1601,0.5,2005,998000,-1
2618,1,3305,3305,3305,1456,1.0,2003,1585000,-1
2619,1,1441,1441,1211,424,0.12,2013,475000,31
2620,8,1955,860,0,400,0.1,2017,465000,-1
2621,19,1033,0,0,0,0.0,2006,297000,46
2622,1,3901,2437,1325,1131,3.3,2001,929000,-1
2623,8,2533,882,0,621,0.14,2011,615000,-1
2624,1,4730,4730,3296,2155,2.0,2003,1870600,-1
2625,1,1188,1188,1188,351,0.18,1964,485500,-1
2626,8,1600,480,480,462,0.25,1988,540000,-1
2627,8,1568,0,0,352,0.12,1977,348000,-1
2628,68,1246,0,0,0,0.03,1978,258900,-1
2629,19,918,0,0,0,0.0,1974,229000,-1
2630,7,1491,0,0,288,0.24,1956,601000,-1
2631,68,1260,600,0,300,0.06,1972,310000,-1
2632,1,2289,2146,2146,600,0.34,1965,1275000,-1
2633,8,3830,1254,1043,1122,0.76,1972,1706000,-1
2634,1,2088,0,0,528,0.48,1972,479000,-1
2635,51,1814,0,0,528,0.21,1969,524000,15
2636,19,964,0,0,0,0.0,2001,260000,18
2637,1,2238,2003,1823,703,0.23,1998,635000,-1
2638,8,2536,1370,804,576,0.28,1990,650000,-1
2639,8,2132,892,0,528,0.12,2020,490000,-1
2640,1,2425,2388,0,1672,0.74,2013,975000,23
2641,68,1258,631,319,400,0.03,1995,338500,-1
2642,1,760,0,0,0,0.12,1902,250000,-1
2643,19,912,0,0,0,0.0,1985,220000,-1
2644,7,1472,448,388,550,0.26,1973,447500,-1
2645,8,1946,0,0,483,0.1,2015,639000,-1
2646,61,784,0,0,0,0.0,1976,169000,-1
2647,19,618,0,0,0,0.0,1978,175000,-1
2648,1,1390,0,0,357,0.23,1967,430000,-1
2649,1,1014,1014,1014,306,0.17,1965,403000,-1
2650,4,1812,0,0,546,0.25,1964,525000,-1
2651,1,881,881,442,240,0.09,1923,0,-1
2652,14,1056,0,0,0,0.0,2013,49900,-1
2653,1,1001,899,899,231,0.22,1940,497000,-1
2654,1,1148,0,0,320,0.16,1958,345000,-1
2655,1,948,264,0,0,0.73,1915,435000,-1
2656,8,4567,2156,2156,2732,0.95,2009,2275000,19
2657,61,1261,0,0,400,0.0,1999,520000,45
2658,61,1261,0,0,400,0.0,1999,520000,45
2659,1,2747,2693,1872,917,0.41,1997,900000,-1
2660,14,1152,0,0,0,0.0,2005,25000,-1
2661,1,1148,504,312,480,0.15,1910,660000,-1
2662,21,1760,0,0,768,2.32,1970,499000,-1
2663,1,988,0,0,240,0.17,1954,402500,-1
2664,7,1580,0,0,480,0.2,1974,432500,-1
2665,4,2116,0,0,636,1.05,1972,630000,-1
2666,21,1512,0,0,0,0.34,1975,400000,25
2667,7,1476,0,0,1056,0.35,1984,415000,-1
2668,8,1765,576,300,480,0.22,1986,543000,-1
2669,68,1137,0,0,264,0.05,1985,330000,-1
2670,21,960,0,0,294,0.13,1984,280000,-1
2671,7,1828,300,300,420,0.14,1988,535000,-1
2672,1,1534,0,0,612,0.49,1983,447000,-1
2673,68,1072,0,0,0,0.0,2004,244900,38
2674,61,1766,1766,1122,484,0.1,2005,740000,21
2675,8,2181,858,450,742,0.17,1993,572000,-1
2676,1,1761,1271,1271,400,0.09,1993,502500,-1
2677,8,2667,1513,0,722,0.24,2003,540000,41
2678,8,4482,2479,2479,1074,1.0,2004,1359000,-1
2679,61,1168,0,0,0,0.0,2003,275000,38
2680,8,1442,852,802,440,0.06,2014,595000,-1
2681,8,1896,948,0,462,0.07,2014,580000,-1
2682,1,1448,0,0,420,0.17,2003,393500,-1
2683,1,2360,982,0,552,0.12,2020,500000,-1
2684,7,1760,572,462,572,0.23,1976,490000,-1
2685,61,1592,1592,1592,576,0.0,1977,453000,1
2686,1,1024,0,0,264,0.18,1985,366000,-1
2687,1,1968,864,0,488,0.58,1979,781100,-1
2688,19,960,0,0,0,0.0,1970,207483,-1
2689,1,1650,1000,342,600,0.51,1976,465850,-1
2690,1,1373,1120,0,480,0.18,1976,601000,-1
2691,7,1776,528,400,480,0.25,1971,457000,-1
2692,1,864,432,348,286,0.15,1952,425000,-1
2693,14,1064,0,0,0,0.0,1994,45000,-1
2694,15,1248,0,0,0,0.0,1981,12000,-1
2695,7,1546,0,0,500,0.24,1976,300000,-1
2696,8,2360,982,0,552,0.12,2020,500000,-1
2697,68,1676,0,0,478,0.06,2013,399000,7
2698,68,1258,631,631,400,0.03,1996,330000,-1
2699,8,1536,0,0,400,0.2,2001,408000,-1
2700,8,3986,1577,400,800,0.3,2015,1075000,-1
2701,8,2105,1236,0,667,0.19,2002,530000,-1
2702,68,1524,685,0,420,0.07,2020,398700,-1
2703,1,1080,0,0,264,0.19,1974,330000,-1
2704,19,918,0,0,0,0.0,1974,251575,-1
2705,15,1248,0,0,0,0.0,2002,74900,-1
2706,14,540,0,0,0,0.0,1960,16000,-1
2707,1,1444,0,0,480,0.2,1949,475000,-1
2708,8,1680,0,0,456,0.16,1983,395000,-1
2709,19,848,0,0,0,0.0,1984,215000,-1
2710,1,1265,0,0,336,0.24,1979,350000,-1
2711,1,1072,624,624,400,0.18,1981,446000,-1
2712,7,1684,0,0,440,0.14,1987,445000,-1
2713,1,1284,1284,0,441,0.13,2015,415000,-1
2714,68,1294,0,0,240,0.0,2001,286000,0
2715,68,2053,988,0,518,0.08,1996,379900,-1
2716,8,1296,629,629,462,0.18,1997,395000,-1
2717,1,834,834,834,420,0.18,1990,415000,-1
2718,1,1892,655,0,441,0.16,2018,579000,-1
2719,8,2610,0,0,460,0.13,2017,555000,-1
2720,68,1248,0,0,0,0.0,1971,326000,-1
2721,68,1088,560,560,400,0.04,1994,367000,-1
2722,1,1028,0,0,364,0.15,1981,400000,-1
2723,19,1024,0,0,264,0.0,1983,246000,-1
2724,8,2514,1108,0,706,0.3,1993,700000,-1
2725,8,2767,1808,1541,770,0.2,2000,780000,-1
2726,8,3179,1363,0,650,0.32,1996,717000,-1
2727,1,3588,3588,3261,2048,2.4,1999,1350000,-1
2728,61,1352,816,816,462,0.07,1996,466000,-1
2729,1,1824,1824,1539,420,0.29,1996,672000,-1
2730,8,1602,962,808,520,0.18,2000,605000,23
2731,19,892,0,0,264,0.0,1998,315000,-1
2732,1,1128,0,0,418,0.1,2001,350000,-1
2733,8,1579,0,0,420,0.1,2002,402000,-1
2734,68,1416,616,460,240,0.03,2001,360000,-1
2735,8,2513,1235,845,525,0.15,2011,627500,-1
2736,19,1132,0,0,280,0.0,2002,330000,-1
2737,7,2011,656,572,576,0.13,2007,481000,31
2738,1,2520,1865,958,784,0.56,2014,900000,-1
2739,8,2738,1822,0,500,0.17,2008,930000,-1
2740,0,1,0,0,0,0.04,2020,409500,-1
2741,68,1820,0,0,544,0.05,2018,415000,-1
2742,68,1444,703,0,400,0.0,2017,390000,32
2743,8,2078,1100,625,400,0.11,2009,1085024,-1
2744,344,1238,0,0,0,0.06,2005,450000,-1
2745,1,2371,2355,1835,563,0.25,2007,805000,-1
2746,19,1176,0,0,200,0.0,2000,290000,45
2747,8,2258,794,0,380,0.11,2002,550000,28
2748,1,1503,1503,1225,640,0.19,2004,525000,8
2749,1,1526,1520,600,400,0.21,2001,550000,23
2750,8,2114,926,826,572,0.14,2004,578500,16
2751,5,1984,1984,1410,708,0.22,1998,667000,-1
2752,61,958,0,0,286,0.0,1984,280500,-1
2753,7,1438,0,0,494,0.17,1972,350000,-1
2754,7,1832,672,672,460,0.28,1974,600000,-1
2755,1,1787,1689,1311,598,0.25,1964,625132,-1
2756,61,1783,0,0,575,0.12,1972,650000,-1
2757,1,1665,1665,1665,616,0.24,1978,655000,-1
2758,7,1536,0,0,528,0.19,1977,482000,-1
2759,8,2980,504,0,640,0.22,2003,615000,-1
2760,8,1426,0,0,270,0.13,2002,346000,-1
2761,1,2080,2080,2080,442,0.13,2006,815000,-1
2762,8,2026,900,0,400,0.11,2010,370000,31
2763,1,1968,1968,1968,720,0.17,2014,600000,40
2764,0,1,0,0,0,0.04,2020,405918,-1
2765,0,1,0,0,0,0.04,2020,391418,-1
2766,8,2266,533,0,499,0.14,2013,475000,42
2767,8,1656,733,0,441,0.15,2002,385000,40
2768,8,1718,846,0,696,0.18,2000,478000,-1
2769,7,1386,0,0,264,0.18,1976,429100,-1
2770,4,1912,0,0,488,0.21,1972,485000,-1
2771,1,1528,0,0,440,0.1,1972,385000,-1
2772,1,760,0,0,484,3.96,1924,483333,-1
2773,4,1632,0,0,288,0.14,1975,480000,-1
2774,1,1780,898,660,380,0.18,1998,481700,41
2775,68,1571,1265,0,400,0.07,1999,395000,-1
2776,8,1600,744,0,420,0.1,2002,389000,-1
2777,0,1,0,0,0,0.07,2020,425000,-1
2778,68,2058,0,0,588,0.09,1979,652000,-1
2779,5,2066,1122,842,231,0.16,1937,766000,-1
2780,4,1970,0,0,484,0.29,1975,525000,-1
2781,8,1958,0,0,651,0.17,1983,450000,-1
2782,61,960,0,0,0,0.0,1971,256000,-1
2783,61,784,0,0,0,0.0,1975,241000,-1
2784,19,848,0,0,0,0.0,1984,230000,-1
2785,1,1011,0,0,360,0.18,1987,410000,-1
2786,1,864,0,0,0,0.19,1983,225000,-1
2787,4,1868,0,0,494,0.24,1980,430000,-1
2788,19,938,0,0,0,0.0,1979,220000,-1
2789,19,620,0,0,0,0.0,1963,210000,-1
2790,68,896,112,0,336,0.01,1983,265999,2
2791,1,2261,2236,0,806,0.27,2015,775000,7
2792,68,1115,602,0,200,0.0,2001,310000,37
2793,68,1557,776,0,360,0.05,2011,403000,-1
2794,8,2046,726,516,656,0.14,2004,515000,41
2795,8,1812,620,0,420,0.15,2002,496000,28
2796,1,1543,1431,0,580,0.13,2001,435000,42
2797,68,1178,610,0,200,0.02,2000,299000,-1
2798,19,882,0,0,0,0.0,1996,252500,-1
2799,19,970,0,0,0,0.0,1967,239000,-1
2800,8,2301,1001,756,532,0.18,1997,540000,41
2801,0,1,0,0,0,0.0,2020,374500,-1
2802,8,1952,574,0,440,0.14,1998,490000,-1
2803,21,1404,0,0,308,0.15,1999,345000,-1
2804,8,2210,1126,0,664,0.21,2003,638000,23
2805,68,1184,592,0,240,0.02,2001,315000,-1
2806,7,1734,490,0,608,0.16,2012,471200,38
2807,19,981,0,0,288,0.0,1985,271000,-1
2808,7,2164,0,0,483,0.14,1984,664000,-1
2809,8,1944,0,0,528,0.14,1990,452900,-1
2810,51,1944,0,0,576,0.2,1969,550000,-1
2811,61,912,0,0,200,0.0,1974,235000,-1
2812,1,1101,1101,837,324,0.18,1962,550000,-1
2813,8,2447,1330,890,776,0.28,1993,760000,-1
2814,68,968,112,0,384,0.01,1984,277000,2
2815,1,2952,0,0,884,0.5,1992,730000,-1
2816,1,1111,1086,1086,706,0.15,1978,410000,-1
2817,8,2305,875,637,636,0.2,2012,575000,38
2818,8,1506,0,0,264,0.11,2014,405000,-1
2819,19,1241,0,0,0,0.0,2007,321500,46
2820,8,2176,1042,1042,640,0.17,2004,530000,40
2821,19,882,0,0,0,0.0,1996,261000,-1
2822,19,1257,0,0,0,0.0,2019,427500,34
2823,61,1140,648,432,500,0.08,1997,376500,-1
2824,8,2883,1720,1720,816,0.5,1992,700000,-1
2825,1,1438,1438,160,680,0.16,1994,465000,47
2826,4,1748,0,0,480,0.3,1974,471000,-1
2827,7,1216,0,0,288,0.2,1976,410000,-1
2828,19,1385,0,0,264,0.0,1984,335000,-1
2829,68,1158,0,0,312,0.0,1981,330000,-1
2830,19,964,0,0,0,0.0,2001,299000,18
2831,19,964,0,0,220,0.0,2001,276000,18
2832,1,1624,1561,0,528,0.19,2004,488000,8
2833,5,1051,325,0,432,0.15,1936,468000,-1
2834,0,1,0,0,0,0.0,2020,358585,-1
2835,69,1601,0,0,556,0.04,2018,445000,-1
2836,8,1955,0,0,572,0.14,2016,555000,-1
2837,8,2096,922,0,652,0.09,2019,499900,-1
2838,7,1938,650,0,572,0.38,1969,632000,9
2839,8,2410,1113,0,440,0.11,2009,605000,-1
2840,21,1475,0,0,572,0.0,2005,150000,-1
2841,1,1444,1315,0,429,0.14,2012,415000,38
2842,8,2220,960,840,400,0.12,2003,599900,-1
2843,1,2853,2638,2476,1124,2.14,2001,1504800,-1
2844,8,1410,0,0,210,0.06,2000,390000,-1
2845,61,784,0,0,0,0.0,1976,207000,-1
2846,4,1414,0,0,440,0.16,1983,425000,-1
2847,19,864,0,0,0,0.0,1981,237000,-1
2848,68,1664,558,398,572,0.0,1983,370000,-1
2849,8,2833,1594,0,620,0.21,1996,614100,-1
2850,1,1176,1176,1176,0,0.48,1997,345000,25
2851,7,1420,480,0,616,0.18,1975,525000,-1
2852,7,1628,0,0,288,0.18,1967,458791,-1
2853,1,1095,1095,828,534,0.17,1970,435000,15
2854,7,1736,0,0,1392,0.87,1966,575000,-1
2855,68,840,0,0,200,0.0,1974,270670,-1
2856,8,2269,1080,0,460,0.16,2015,603900,42
2857,0,1,0,0,0,0.13,2020,459500,-1
2858,19,1042,0,0,330,0.0,2017,376000,17
2859,8,2798,0,0,525,0.13,2018,575000,-1
2860,1,1400,0,0,264,0.18,1950,345000,-1
2861,1,2136,0,0,288,0.3,1974,510000,-1
2862,1,1092,1092,218,360,0.17,1900,595000,-1
2863,4,1662,0,0,288,0.21,1973,430000,-1
2864,8,2440,1158,1158,736,0.22,1990,609500,-1
2865,19,608,0,0,0,0.0,1985,185000,-1
2866,8,2941,1587,0,794,0.19,2006,650000,19
2867,8,2327,1124,0,792,0.29,1998,560000,38
2868,1,2631,2561,1628,828,0.33,2002,880000,21
2869,1,1350,0,0,400,0.12,2001,403500,-1
2870,1,1506,1446,0,420,0.11,2012,435000,-1
2871,8,2226,1096,0,380,0.11,2003,480000,28
2872,8,1681,823,545,398,0.14,2013,470000,31
2873,68,1690,0,0,478,0.06,2013,405000,7
2874,68,1168,576,0,240,0.02,2012,390000,-1
2875,68,1352,656,0,240,0.02,2000,310000,-1
2876,1,2082,2024,1807,722,0.19,2013,629000,8
2877,8,1948,1074,1074,598,0.19,1977,620000,-1
2878,7,1472,0,0,400,0.17,1979,525000,-1
2879,8,2507,1242,1242,625,0.38,1987,660000,-1
2880,61,1451,984,384,399,0.0,1986,430500,-1
2881,61,834,0,0,0,0.0,1973,250000,-1
2882,68,1425,0,0,312,0.0,1973,390000,1
2883,1,1170,1170,1170,576,0.15,1962,430000,-1
2884,1,986,0,0,564,0.14,1956,425000,-1
2885,8,2674,993,0,883,0.29,1984,975000,-1
2886,8,2360,1155,0,441,0.13,2005,485000,41
2887,8,2810,1538,1027,662,0.19,2004,685000,-1
2888,8,3273,1722,1557,920,0.58,2000,1250000,12
2889,0,1,0,0,0,0.18,2020,510000,-1
2890,8,2326,1269,0,560,0.15,2008,568000,38
2891,8,2107,585,0,638,0.15,2011,595000,-1
2892,68,1326,528,0,552,0.04,2003,375000,22
2893,8,2496,1488,1308,576,0.23,1978,615000,-1
2894,1,960,936,0,480,0.17,1979,421000,-1
2895,7,1770,624,624,517,0.27,1980,510000,-1
2896,68,1306,0,0,0,0.0,1974,255000,-1
2897,7,1564,736,736,0,0.38,1935,605000,25
2898,1,1535,1527,990,1050,2.0,1997,775000,-1
2899,1,3368,3107,1745,1434,0.51,2002,1500000,-1
2900,1,1116,896,896,400,0.09,1984,350000,-1
2901,1,1368,0,0,0,0.15,1963,423000,-1
2902,68,1776,0,0,240,0.0,1975,390000,-1
2903,7,1264,0,0,504,0.24,1972,416000,-1
2904,1,800,0,0,352,0.11,1977,317500,-1
2905,0,1,0,0,0,0.04,2020,400000,-1
2906,1,733,0,0,0,0.32,1925,345000,-1
2907,51,1199,1009,1009,216,0.17,1928,530000,-1
2908,1,1048,1008,808,216,0.12,1910,610000,-1
