,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2020,8,2470,1291,1153,600,0.23,1996,637000,-1
2021,8,2793,1416,1272,714,0.15,2004,600000,-1
2022,1,1636,0,0,528,0.15,1982,337000,-1
2023,8,1692,0,0,320,0.19,1981,340000,-1
2024,7,1800,672,336,536,0.2,1977,455000,-1
2025,5,1716,1044,1044,831,0.2,1908,685000,-1
2026,8,1632,0,0,456,0.15,1979,340000,-1
2027,1,1352,0,0,384,0.25,1960,445000,-1
2028,1,881,881,442,240,0.09,1923,525000,-1
2029,1,1850,0,0,725,0.29,1958,0,-1
2030,68,784,0,0,0,0.02,1974,219000,-1
2031,19,576,0,0,0,0.0,1974,169900,-1
2032,7,1368,0,0,418,0.18,1984,380000,-1
2033,61,1270,0,0,440,0.0,1991,330000,-1
2034,8,2484,1184,1184,794,0.23,1991,750000,-1
2035,19,1126,0,0,288,0.0,1988,275000,-1
2036,19,936,0,0,220,0.0,1996,249900,-1
2037,19,714,0,0,0,0.0,1996,212000,-1
2038,8,2077,707,0,609,0.19,2004,502000,41
2039,8,1690,990,0,400,0.08,2004,432800,-1
2040,1,1857,1857,1857,420,0.14,2004,680000,-1
2041,19,867,0,0,299,0.0,2001,239000,18
2042,8,2156,958,958,500,0.11,2008,515000,-1
2043,8,2278,786,786,583,0.12,2012,620000,-1
2044,69,1982,292,0,0,0.0,2020,1290400,-1
2045,68,1267,550,0,253,0.0,2016,344800,13
2046,68,1840,0,0,448,0.05,2017,385000,-1
2047,8,2310,956,0,596,0.16,2020,543653,-1
2048,68,1072,0,0,0,0.0,2004,240000,38
2049,68,1532,636,0,400,0.04,2009,375000,42
2050,1,2032,1992,1992,480,0.15,2000,525000,41
2051,7,1532,432,0,520,0.18,1978,460000,-1
2052,1,1366,0,0,1956,5.0,1975,910000,-1
2053,1,1456,1456,1456,288,0.29,1961,495000,-1
2054,1,1021,0,0,280,0.2,1951,423000,-1
2055,14,1176,0,0,0,0.0,1983,63000,-1
2056,14,1152,0,0,0,0.0,2011,56000,-1
2057,14,924,0,0,0,0.0,2006,75000,-1
2058,1,1194,0,0,336,0.2,1960,350000,-1
2059,61,1244,1244,1244,312,0.0,1973,355000,1
2060,68,1104,0,0,264,0.0,1980,300000,-1
2061,7,2375,0,0,0,0.16,1988,430000,-1
2062,68,1182,576,0,240,0.02,2003,315000,-1
2063,8,1874,960,0,480,0.12,1997,420000,-1
2064,8,1746,868,0,586,0.1,2020,455330,-1
2065,68,3073,0,0,601,0.04,2017,1250000,-1
2066,19,1242,0,0,0,0.0,2019,476500,34
2067,68,1533,685,0,420,0.1,2020,395000,-1
2068,1,1419,1403,1339,440,0.17,1996,469903,-1
2069,1,1235,1025,923,525,0.26,1965,375000,-1
2070,7,2368,0,0,480,0.16,1979,490000,-1
2071,68,1460,0,0,0,0.0,1975,339900,-1
2072,14,924,0,0,0,0.0,1973,27000,-1
2073,19,762,0,0,0,0.0,1979,180000,-1
2074,7,1896,528,400,528,0.22,1985,462000,-1
2075,8,2480,1169,0,380,0.11,2005,426000,41
2076,8,2216,673,0,441,0.16,2004,395000,-1
2077,19,1047,0,0,180,0.0,2017,316000,32
2078,1,1550,1550,1394,400,0.13,2007,403400,31
2079,8,3338,1574,0,615,0.17,2016,636000,7
2080,8,1622,0,0,560,0.11,2014,384120,-1
2081,8,2726,714,427,704,0.17,2002,575000,22
2082,8,1413,0,0,460,0.1,2001,150000,-1
2083,4,1809,0,0,388,0.15,1984,410000,-1
2084,21,1330,0,0,0,0.16,1984,203000,-1
2085,1,4330,0,0,1175,1.08,1971,1490000,-1
2086,51,840,840,840,0,0.11,1948,550000,-1
2087,1,1025,1025,1025,275,0.18,1962,371000,-1
2088,68,900,0,0,0,0.0,1972,208000,-1
2089,61,542,512,512,0,0.0,1973,252000,-1
2090,1,1611,0,0,0,0.33,1958,515000,-1
2091,8,2288,0,0,475,0.18,1979,496106,-1
2092,4,1907,0,0,469,0.14,1982,417000,-1
2093,68,1226,607,0,240,0.03,1997,289000,41
2094,68,1288,560,500,240,0.06,1997,385000,-1
2095,68,1884,612,0,400,0.07,2020,425000,-1
2096,68,1884,612,0,400,0.09,2020,421000,-1
2097,68,1538,685,0,420,0.07,2020,400000,-1
2098,0,1,0,0,0,0.12,2020,467580,-1
2099,8,2132,892,0,528,0.19,2020,465000,-1
2100,19,936,0,0,220,0.0,1997,255000,-1
2101,1,2180,1892,1415,656,0.19,1998,630000,-1
2102,7,1454,446,446,380,0.15,1987,470000,-1
